data_source,regid,smiles
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr141,Cc1[nH]nc(C(F)(F)F)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr142,Cc1[nH]nc(-c2ccccc2)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr143,Cc1cc(C(C)(C)C)cc(C)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr145,Cc1cccc(Cl)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr146,Cc1cccc(F)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr147,Cc1ccnc(C)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr148,Cc1c(Br)c2ccccc2n1C(=O)OC(C)(C)C
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr149,Cc1nc2ccccn2c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr15,C#CCc1cccc(Br)c1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr150,Cc1noc(C)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr151,Cc1oc2ccccc2c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr152,Cc1sc2ccccc2c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr153,O=Cc1nc[nH]c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr154,FC(F)(F)c1cc(Cl)c(Br)c(Cl)c1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr155,Fc1cccc(Cl)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr156,Brc1c(OCc2ccccc2)ccc2ccccc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr157,FC(F)(F)c1n[nH]c(C(F)(F)F)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr158,FC(F)(F)c1n[nH]c(-c2ccccc2)c1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr159,CC(C)(C)c1cc(C(C)(C)C)c(Br)c(C(C)(C)C)c1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr160,Brc1c(-c2ccccc2)cc(-c2ccccc2)cc1-c1ccccc1
