bad_hetero_ID,no_arene_smiles
no_arene_1,O=c1ncc2c(=O)oncc2o1
no_arene_2,O=c1nnn2c(=O)sc(=O)oc2n1
no_arene_3,O=c1ncn2[nH]ncn2c1=O
no_arene_4,O=c1[nH]c2ncnc(=O)n2oc1=O
no_arene_5,O=c1[nH]c2c(=O)ocnc2c(=O)s1
no_arene_6,O=c1[nH]c2scnc(=O)c2[nH]c1=O
no_arene_7,O=c1cc2cnnnn2c(=O)[nH]1
no_arene_8,O=c1cc2c(=O)cnon2nn1
no_arene_9,O=c1[nH]c2cncc(=O)n2o1
no_arene_10,O=c1ncc2cc(=O)scc2[nH]1
no_arene_11,O=c1cc2c(=O)nc[nH]c2c[nH]1
no_arene_12,O=c1c(=O)c2scnc(=O)c2c1=O
no_arene_13,c1[nH]nnn2onn[nH]c1-2
no_arene_14,O=c1sc(=O)n2c(=O)c(=O)ncn2s1
no_arene_15,c1nsn2onn[nH]n12
no_arene_16,O=c1[nH]n2ncon2c(=O)c1=O
no_arene_17,c1nncn2snnsn12
no_arene_18,O=c1sc(=O)n2ncsnc1-2
no_arene_19,O=c1onnn2[nH]nnsn12
no_arene_20,O=c1sc2cscc2sc1=O
no_arene_21,O=c1cnc2csc(=O)c(=O)n2s1
no_arene_22,O=c1[nH]n2ncscc-2c(=O)c1=O
no_arene_23,O=c1sn2ncscc-2c1=O
no_arene_24,O=c1cnn2nnonc1-2
no_arene_25,O=c1[nH]c2c[nH]c(=O)n2oc1=O
no_arene_26,O=c1oc(=O)c2cc(=O)snc2o1
no_arene_27,O=c1[nH]n2c(=O)ncnc2c(=O)s1
no_arene_28,O=c1[nH]c2c(=O)onnc2s1
no_arene_29,O=c1on2ocn[nH]n2sc1=O
no_arene_30,O=c1[nH]c2nc[nH]c2[nH]1
no_arene_31,O=c1cnn2nc[nH]nc-2c1=O
no_arene_32,O=c1scc2[nH]ncc(=O)n2c1=O
no_arene_33,O=c1ncc2n[nH]nnn-2c1=O
no_arene_34,c1noc2csnnn-2o1
no_arene_35,O=c1oc(=O)n2cncc2o1
no_arene_36,O=c1ncc2c(=O)sc(=O)[nH]c2s1
no_arene_37,O=c1cc2cnnnn2c(=O)o1
no_arene_38,O=c1cnn2ncc(=O)c(=O)n2s1
no_arene_39,O=c1ocnn2c(=O)nnnc12
no_arene_40,O=c1[nH]c(=O)c(=O)c2sncoc1=2
no_arene_41,O=c1[nH]c(=O)n2c(=O)c(=O)c(=O)n2c1=O
no_arene_42,O=c1nnc2snnc(=O)c2s1
no_arene_43,c1ncc2nonc2n1
no_arene_44,O=c1sn2nnncn2c1=O
no_arene_45,O=c1[nH]c2cn[nH]c2c(=O)s1
no_arene_46,O=c1sn2sncc(=O)n2c1=O
no_arene_47,O=c1snnc2cncn12
no_arene_48,O=c1cnn2[nH]c(=O)oc2c1
no_arene_49,O=c1oc(=O)c2[nH]cnc2s1
no_arene_50,O=c1ncc2[nH]nnc2s1
no_arene_51,O=c1[nH]c2c(=O)[nH]ncc2c(=O)s1
no_arene_52,O=c1cnc2[nH]nn[nH]c=2c1=O
no_arene_53,O=c1[nH]n2c(=O)oc(=O)c(=O)n2c(=O)o1
no_arene_54,O=c1nnc2oncsc=2c1=O
no_arene_55,c1nncc2cocc12
no_arene_56,O=c1cc2ncc(=O)sc2c[nH]1
no_arene_57,O=c1[nH]ncc2sncc12
no_arene_58,O=c1ncn2c(=O)nnnc2[nH]1
no_arene_59,O=c1cc2[nH]cnc2ns1
no_arene_60,O=c1oc2c[nH]cc2sc1=O
no_arene_61,O=c1[nH]nc2c(=O)ncsn2c1=O
no_arene_62,c1nsc2cnoc12
no_arene_63,O=c1sc2c(=O)c(=O)c(=O)c2s1
no_arene_64,O=c1on2snnsn2sc1=O
no_arene_65,O=c1sc(=O)n2sncn2c1=O
no_arene_66,O=c1nn[nH]c2ncnn12
no_arene_67,O=c1[nH]c2cnoc2s1
no_arene_68,O=c1nnn2ncsc2n1
no_arene_69,O=c1[nH]cc2scnn12
