arene_ID,arene_energy
arene_1,-1156.0883
arene_2,-846.4294
arene_3,-946.314
arene_4,-1269.2819
arene_5,-1228.5052
arene_5,-1228.5052
arene_6,
arene_7,-599.7472
arene_8,-826.615
arene_9,
arene_10,-1037.5574
arene_11,-1004.2672
arene_12,-1189.201
arene_13,-561.6928
arene_14,-829.3522
arene_15,-1001.7423
arene_16,-241.9423
arene_17,-512.4478
arene_18,-794.616
arene_18,-794.616
arene_19,-946.3752
arene_20,-829.3014
arene_21,-524.6034
arene_21,-524.6034
arene_22,-395.4208
arene_23,-826.6202
arene_24,-942.4785
arene_25,
arene_26,-522.4108
arene_27,-813.3222
arene_28,
arene_29,-921.5792
arene_30,-545.7148
arene_30,-545.7148
arene_31,
arene_32,-901.7487
arene_33,-1021.56
arene_34,
arene_35,-1041.3981
arene_36,
arene_37,-1153.4179
arene_38,-506.3813
arene_39,-486.5392
arene_40,
arene_41,-710.6807
arene_42,-494.2334
arene_42,-494.2334
arene_43,-920.3927
arene_44,-567.7664
arene_44,-567.7664
arene_45,-754.1614
arene_46,-601.4041
arene_47,-544.5195
arene_48,-1118.0192
arene_49,-544.4284
arene_50,-565.5527
arene_51,
arene_52,-1322.3751
arene_53,-1360.4421
arene_54,-962.3312
arene_55,-565.4693
arene_55,-565.4693
arene_56,-603.5991
arene_57,-1269.2927
arene_58,-1153.4072
arene_59,
arene_60,-1021.521
arene_61,-490.3981
arene_62,-698.5364
arene_63,-926.5192
arene_64,
arene_65,-490.4431
arene_66,-1001.6867
arene_67,-772.498
arene_67,-772.498
arene_68,-528.4228
arene_69,-1021.4909
arene_70,-519.6427
arene_71,-926.546
arene_71,-926.546
arene_72,-524.6457
arene_73,-411.4299
arene_74,-486.5864
arene_75,-829.3678
arene_76,-615.7211
arene_77,-813.3494
arene_78,-454.4835
arene_78,-454.4835
arene_79,-599.755
arene_80,-1140.0669
arene_81,-888.4325
arene_81,-888.4325
arene_82,-447.2618
arene_83,-619.6334
arene_84,-1228.5433
arene_84,-1228.5433
arene_85,-904.523
arene_86,-586.3294
arene_87,-845.3275
arene_88,-849.1376
arene_89,-910.522
arene_89,-910.522
arene_90,-1021.4502
arene_91,-942.469
arene_92,-523.3985
arene_92,-523.3985
arene_93,-524.6271
arene_94,-1172.0679
arene_95,-581.441
arene_96,
arene_96,
arene_97,-567.792
arene_97,-567.792
arene_98,-528.4598
arene_98,-528.4598
arene_99,-603.6805
arene_99,-603.6805
arene_100,-603.6612
arene_101,-583.8336
arene_102,-409.13
arene_103,-474.3971
arene_104,-486.5353
arene_105,-1603.2719
arene_106,-461.7033
arene_107,-506.3458
arene_108,-548.3205
arene_109,-1264.2801
arene_110,-373.3415
arene_111,-1322.3801
arene_112,-924.3494
arene_113,-1322.3385
arene_114,
arene_115,-926.5326
arene_116,-490.3749
arene_117,-587.6001
arene_117,-587.6001
arene_118,-619.5983
arene_119,-866.2633
arene_120,-1153.3989
arene_121,
arene_122,-506.378
arene_123,-926.545
arene_123,-926.545
arene_124,-926.5566
arene_125,-492.6497
arene_125,-492.6497
arene_125,-492.6497
arene_126,
arene_127,
arene_128,-1269.2726
arene_129,-619.5404
arene_130,-1173.1939
arene_131,-1339.5185
arene_132,-738.193
arene_133,-1001.7084
arene_134,-548.3062
arene_135,
arene_136,-774.7017
arene_137,-449.4535
arene_137,-449.4535
arene_138,-910.5285
arene_139,-603.6823
arene_139,-603.6823
arene_140,-599.6914
arene_141,-752.6569
arene_142,-502.6018
arene_143,-694.8549
arene_144,-962.3509
arene_145,-395.4148
arene_145,-395.4148
arene_146,-496.4571
arene_146,-496.4571
arene_146,-496.4571
arene_146,-496.4571
arene_147,-851.4081
arene_148,
arene_149,-678.8172
arene_150,-544.4867
arene_151,-910.5649
arene_151,-910.5649
arene_151,-910.5649
arene_152,-791.2068
arene_153,-774.7289
arene_154,-581.4999
arene_155,
arene_156,-942.5677
arene_157,
arene_158,-829.3422
arene_159,-484.2098
arene_160,
arene_161,-1037.5751
arene_162,-1021.4469
arene_163,-930.3495
arene_164,-979.5631
arene_165,-433.4664
arene_165,-433.4664
arene_165,-433.4664
arene_166,-904.4971
arene_167,-1017.6391
arene_168,-603.5692
arene_169,-564.3325
arene_170,-772.4884
arene_170,-772.4884
arene_171,-506.4035
arene_172,-506.4609
arene_173,-603.6369
arene_174,-858.5073
arene_175,-867.3722
arene_176,-1153.3822
arene_176,-1153.3822
arene_177,
arene_178,-492.5978
arene_178,-492.5978
arene_179,-1172.0992
arene_180,-597.5379
arene_181,-603.635
arene_182,-942.4908
arene_183,-962.354
arene_184,-524.6274
arene_185,-486.6125
arene_186,
arene_187,-904.4139
arene_188,-473.1075
arene_189,-399.2538
arene_189,-399.2538
arene_189,-399.2538
arene_190,-449.4816
