aryne_ID,aryne_energy
aryne_1,-1154.7269
aryne_2,-845.1003
aryne_3,-944.9744
aryne_4,-1267.9693
aryne_5,-1227.1702
aryne_6,
aryne_7,
aryne_8,-598.3859
aryne_9,-825.2913
aryne_10,
aryne_11,-1036.223
aryne_12,-1002.949
aryne_13,-1187.8615
aryne_14,-560.3527
aryne_15,-828.0254
aryne_16,-1000.4306
aryne_17,-240.5255
aryne_18,-511.1181
aryne_19,-793.28
aryne_20,-793.3005
aryne_21,-945.0634
aryne_22,-827.9858
aryne_23,-523.2748
aryne_24,-523.2584
aryne_25,-394.0838
aryne_26,-825.2949
aryne_27,-941.134
aryne_28,
aryne_29,-521.0333
aryne_30,-811.9831
aryne_31,
aryne_32,-920.2513
aryne_33,-544.3235
aryne_34,
aryne_35,
aryne_36,-900.4173
aryne_37,-1020.2472
aryne_38,
aryne_39,-1040.0609
aryne_40,
aryne_41,-1152.0945
aryne_42,-504.9847
aryne_43,-485.1877
aryne_44,
aryne_45,-709.3434
aryne_46,-492.9035
aryne_47,-492.8235
aryne_48,-919.0209
aryne_49,-566.437
aryne_50,-566.4183
aryne_51,-752.8239
aryne_52,-599.9906
aryne_53,-543.1487
aryne_54,-1116.6218
aryne_55,-543.0908
aryne_56,-564.203
aryne_57,
aryne_58,-1320.9861
aryne_59,-1359.1118
aryne_60,-961.006
aryne_61,-564.1175
aryne_62,-564.0816
aryne_63,-602.2509
aryne_64,-1267.9819
aryne_65,-1152.0809
aryne_66,
aryne_67,-1020.2017
aryne_68,-488.9957
aryne_69,-697.1933
aryne_70,-925.1611
aryne_71,
aryne_72,-489.0471
aryne_73,-1000.357
aryne_74,
aryne_75,-771.1695
aryne_76,-527.0813
aryne_77,-1020.1564
aryne_78,-518.3024
aryne_79,-925.2082
aryne_80,-925.2275
aryne_81,-523.2999
aryne_82,-410.0312
aryne_83,-485.2573
aryne_84,-828.0282
aryne_85,-614.3863
aryne_86,-812.0256
aryne_87,-453.1389
aryne_88,-453.1479
aryne_89,-598.4242
aryne_90,-1138.7572
aryne_91,
aryne_92,-887.0439
aryne_93,-445.8894
aryne_94,-618.3
aryne_95,-1227.1902
aryne_96,-1227.2426
aryne_97,-903.1207
aryne_98,-584.9595
aryne_99,-843.9944
aryne_100,-847.7688
aryne_101,-909.2122
aryne_102,-909.1873
aryne_103,-1020.1163
aryne_104,-941.1532
aryne_105,-522.0495
aryne_106,
aryne_107,-523.2735
aryne_108,-1170.7035
aryne_109,-580.1045
aryne_110,
aryne_111,
aryne_112,-566.4458
aryne_113,-566.4645
aryne_114,-527.1298
aryne_115,-527.123
aryne_116,-602.3489
aryne_117,-602.341
aryne_118,-602.3298
aryne_119,-582.4837
aryne_120,-407.7301
aryne_121,-472.993
aryne_122,-485.1707
aryne_123,-1601.9679
aryne_124,-460.3094
aryne_125,-504.9986
aryne_126,-546.918
aryne_127,-1262.9506
aryne_128,-371.9467
aryne_129,-1321.0505
aryne_130,-922.946
aryne_131,-1321.0203
aryne_132,
aryne_133,-925.2079
aryne_134,-489.0409
aryne_135,-586.2658
aryne_136,-586.254
aryne_137,-618.2478
aryne_138,-864.9439
aryne_139,-1152.085
aryne_140,
aryne_141,-505.036
aryne_142,-925.2162
aryne_143,-925.224
aryne_144,-925.2409
aryne_145,-491.3142
aryne_146,-491.3147
aryne_147,-491.3193
aryne_148,
aryne_149,
aryne_150,-1267.9604
aryne_151,-618.2127
aryne_152,-1171.8849
aryne_153,-1338.1869
aryne_154,-736.8593
aryne_155,-1000.37
aryne_156,-546.9247
aryne_157,
aryne_158,-773.371
aryne_159,-448.1191
aryne_160,-448.12
aryne_161,-909.2197
aryne_162,-602.3419
aryne_163,-602.3486
aryne_164,-598.3715
aryne_165,-751.2645
aryne_166,-501.2473
aryne_167,-693.5208
aryne_168,-961.0344
aryne_169,-394.0817
aryne_170,-394.0658
aryne_171,-495.1307
aryne_172,-495.1228
aryne_173,-495.1222
aryne_174,-495.1246
aryne_175,-850.091
aryne_176,
aryne_177,-677.4422
aryne_178,-543.1407
aryne_179,-909.2339
aryne_180,-909.2284
aryne_181,-909.2263
aryne_182,-789.8496
aryne_183,-773.4103
aryne_184,-580.1483
aryne_185,
aryne_186,-941.2295
aryne_187,
aryne_188,-827.9787
aryne_189,-482.8348
aryne_190,
aryne_191,-1036.2172
aryne_192,-1020.1038
aryne_193,-929.0064
aryne_194,-978.2207
aryne_195,-432.1324
aryne_196,-432.1354
aryne_197,-432.1334
aryne_198,-903.1168
aryne_199,-1016.3145
aryne_200,-602.2501
aryne_201,-562.9572
aryne_202,
aryne_203,-771.1592
aryne_204,-505.0731
aryne_205,-505.0256
aryne_206,-602.3101
aryne_207,-857.1929
aryne_208,-866.0628
aryne_209,-1152.0419
aryne_210,-1152.074
aryne_211,
aryne_212,-491.2675
aryne_213,-491.2518
aryne_214,-1170.79
aryne_215,-596.1547
aryne_216,-602.3066
aryne_217,-941.1526
aryne_218,-960.9951
aryne_219,-523.2917
aryne_220,-485.2031
aryne_221,
aryne_222,-903.0748
aryne_223,-471.7417
aryne_224,-397.9169
aryne_225,-397.9237
aryne_226,-397.8496
aryne_227,-448.1462
aryne_228,-925.2024
aryne_229,-1039.9772
aryne_230,-827.9994
aryne_231,-866.0345
aryne_232,-453.2254
aryne_233,-453.1697
aryne_234,-1572.6169
aryne_235,-618.1675
aryne_236,-847.7657
aryne_237,
aryne_238,-925.2114
aryne_239,-511.1146
aryne_240,-961.0309
aryne_241,-925.2465
aryne_242,-845.0152
aryne_243,
aryne_244,-717.1159
aryne_245,-580.2185
aryne_246,-602.2482
aryne_247,-1251.954
aryne_248,-507.3178
aryne_249,-507.2833
aryne_250,-488.9693
aryne_251,-957.1568
aryne_252,-709.3483
aryne_253,-1229.8915
aryne_254,-1091.4007
aryne_255,
aryne_256,-1259.1707
aryne_257,-489.0808
aryne_258,-489.0254
aryne_259,-543.1133
aryne_260,
aryne_261,-507.3114
aryne_262,-584.0688
aryne_263,-1168.0821
aryne_264,-827.9657
aryne_265,-677.4776
aryne_266,-412.9614
aryne_267,-598.476
aryne_268,-697.284
aryne_269,-811.9814
aryne_270,-1168.0609
aryne_271,-622.0828
aryne_272,-657.5778
aryne_273,-598.3953
aryne_274,-697.3236
aryne_275,
aryne_276,-1459.4376
aryne_277,-489.0479
aryne_278,-485.1742
aryne_279,-551.318
aryne_280,
aryne_281,-1362.9231
aryne_282,-1016.3626
aryne_283,-941.1549
aryne_284,-566.3908
aryne_285,-566.3903
aryne_286,-657.6318
aryne_287,-815.83
aryne_288,-815.7249
aryne_289,-507.3379
aryne_290,
aryne_291,-501.2364
aryne_292,-539.2675
aryne_293,-978.2411
aryne_294,-697.2871
aryne_295,-1020.2152
aryne_296,-693.4348
aryne_297,-768.8283
aryne_298,-410.0654
aryne_299,-923.0036
aryne_300,-602.314
aryne_301,-925.2199
aryne_302,-811.9099
aryne_303,
aryne_304,-903.0677
aryne_305,-602.3034
aryne_306,-677.4876
aryne_307,-378.0839
aryne_308,-378.0683
aryne_309,-378.0173
aryne_310,-622.1086
aryne_311,-657.5917
aryne_312,-906.9097
aryne_313,-831.832
aryne_314,-925.2223
aryne_315,-677.5131
aryne_316,-469.138
aryne_317,-469.1612
aryne_318,-926.8118
aryne_319,-622.0667
aryne_320,-582.4763
aryne_321,-925.1799
aryne_322,-602.1901
aryne_323,-677.4963
aryne_324,-638.0634
aryne_325,-815.7258
aryne_326,-815.7492
aryne_327,-825.2841
aryne_328,-339.8991
