arene_ID,arene_smiles
arene_1,O=c1nc2ccc(=O)sc2co1
arene_2,O=c1cc2ccsc(=O)n2nn1
arene_3,O=c1cc2ncccc2no1
arene_4,O=c1ccn2c(=O)oc(=O)nc2[nH]1
arene_5,O=c1cc2occc(=O)n2c(=O)s1
arene_6,O=c1ccc(=O)n2ncocc1-2
arene_7,O=c1cc[nH]n2c(=O)onc12
arene_8,O=c1ccn2oncon2s1
arene_9,c1cc2snnn2c1
arene_10,O=c1onnc2nccnc12
arene_11,O=c1oc(=O)c2sccc2o1
arene_12,O=c1nc2nccnc2co1
arene_13,c1cc2ncon2c1
arene_14,O=c1ccn2nc[nH]n12
arene_15,O=c1[nH]ccn2cccc12
arene_16,O=c1snc2c(=O)sccn2c1=O
arene_17,O=c1cnc2cccnc2o1
arene_18,O=c1[nH]c(=O)n2cc[nH]nc1-2
arene_19,O=c1ccc2ccnc(=O)n2o1
arene_20,O=c1ccc2nnnn2[nH]1
arene_21,c1n[nH]c2occoc=2[nH]1
arene_22,O=c1cnc2cccnc2s1
arene_23,O=c1[nH]n2c(=O)ccc(=O)n2c(=O)s1
arene_24,O=c1cc2[nH]c(=O)ccn2c(=O)[nH]1
arene_25,O=c1cnc2c(=O)occc2s1
arene_26,O=c1oc2nccnc2oc1=O
arene_27,O=c1cnc2cc[nH]c(=O)c2o1
arene_28,c1cc2nnncc2o1
arene_29,c1cn2scnsc-2cs1
arene_30,O=c1occc2ncoc12
arene_31,O=c1nnoc2nccnc12
arene_32,O=c1nnn2sccon2[nH]1
arene_33,O=c1ccc2sc(=O)oc2[nH]1
arene_34,O=c1oc(=O)n2sccn2c1=O
arene_35,O=c1ccc2c(=O)c(=O)oc1=2
arene_36,c1c[nH]n2nnscc-2[nH]1
arene_37,O=c1onnn2c(=O)nccc12
arene_38,O=c1[nH]n2[nH]ccsn2oc1=O
arene_39,O=c1[nH]c(=O)n2nccnn12
arene_40,O=c1ncc2ncccc2o1
arene_41,O=c1ccnc2cnsc(=O)n12
arene_42,c1nn2[nH]ccoc-2n[nH]1
arene_43,O=c1sc(=O)n2ccc(=O)c(=O)n2s1
arene_44,O=c1cnn2ccoc(=O)n12
arene_45,c1cc2oncn2c1
arene_46,c1cnn2[nH]ccsn2c1
arene_47,O=c1sn2ccc(=O)n2sc1=O
arene_48,O=c1cnn2c(=O)[nH]ccn12
arene_49,c1cc2ccsn2n1
arene_50,O=c1ccc2cnncc2[nH]1
arene_51,c1non2[nH]ccn2[nH]1
arene_52,O=c1oc(=O)n2ccscc-2c1=O
arene_53,O=c1sn2c(=O)sccn2c(=O)c1=O
arene_54,O=c1ccn2ccsc2n1
arene_55,O=c1ccsc2nn[nH]c(=O)c12
arene_56,O=c1ncoc2ccoc(=O)c12
arene_57,O=c1cc2nccnn2c(=O)s1
arene_58,O=c1ccn2[nH]nnsn2o1
arene_59,O=c1oc(=O)n2[nH]ccsn2s1
arene_60,O=c1[nH]c2ccncc2[nH]c1=O
arene_61,c1cn2[nH]nnsn2nn1
arene_62,O=c1cc[nH]c2nn[nH]c(=O)c12
arene_63,O=c1ccn2c(=O)ncoc2c1
arene_64,O=c1ccsn2oncon12
arene_65,O=c1ncc2nccnc2s1
arene_66,O=c1c(=O)c(=O)n2sccon2c1=O
arene_67,O=c1ccc(=O)n2cc[nH]nc1-2
arene_68,O=c1ncoc2cc[nH]c12
arene_69,c1csc2c[nH]nnn-2o1
arene_70,O=c1sc(=O)n2sccc(=O)n2c1=O
arene_71,O=c1ccn2c(=O)ccn2[nH]1
arene_72,O=c1ccc2c(=O)c(=O)[nH]c(=O)c=2c1=O
arene_73,O=c1ncn2cccnn2c1=O
arene_74,O=c1nc[nH]c2cc[nH]c12
arene_75,O=c1cnsc2nccn12
arene_76,O=c1ccc2cc(=O)snc2o1
arene_77,O=c1ccc2sc(=O)ncc2o1
arene_78,O=c1ccn2cnoc(=O)n2c1=O
arene_79,c1cn2scnon2nn1
arene_80,O=c1cc2c(=O)[nH]ccn2cn1
arene_81,O=c1snc2c(=O)ccon2c1=O
arene_82,O=c1cc2[nH]ccn2nn1
arene_83,O=c1ccc2n[nH]ccn1-2
arene_84,O=c1cc2c(=O)c(=O)ccc-2n1
arene_85,O=c1nc2sc(=O)ccc2n[nH]1
arene_86,O=c1ccn2sccon2[nH]1
arene_87,c1nc2ccon2n1
arene_88,O=c1[nH]c2ccsc2o1
arene_89,O=c1cnn2ccsn2c1=O
arene_90,O=c1[nH]nc2c(=O)occn2c1=O
arene_91,O=c1ccn2c(=O)cn[nH]c2c1
arene_92,O=c1ccon2ncnc12
arene_93,c1csc2ocnoc=2o1
arene_94,O=c1sncn2sccon12
arene_95,c1csn2cnocc-2[nH]1
arene_96,O=c1ccc2nsc(=O)n2s1
