arene_id,arene_smiles,aryne_id,aryne_smiles
arene_1,O=c1nc2ccsc2cs1,aryne_1,O=c1nc2c#csc2cs1
arene_2,c1csn2nn[nH]cc-2o1,aryne_2,c1oc2c[nH]nnn-2sc#1
arene_3,O=c1cnc2occsc=2c1=O,aryne_3,O=c1cnc2oc#csc=2c1=O
arene_4,O=c1cnc2sc(=O)ccc2s1,aryne_4,O=c1c#cc2sc(=O)cnc2s1
arene_5,O=c1ccn2sccsn2[nH]1,aryne_5,O=c1c#cn2sccsn2[nH]1
arene_5,O=c1ccn2sccsn2[nH]1,aryne_6,O=c1ccn2sc#csn2[nH]1
arene_6,O=c1[nH]n2occon2s1,aryne_7,O=c1[nH]n2oc#con2s1
arene_7,O=c1ncn2cnccn2c1=O,aryne_8,O=c1ncn2cnc#cn2c1=O
arene_8,c1csc2n[nH]ncn-2[nH]1,aryne_9,c1[nH]n2cn[nH]nc-2sc#1
arene_9,O=c1oc2[nH]ccoc=2c(=O)c1=O,aryne_10,O=c1oc2[nH]c#coc=2c(=O)c1=O
arene_10,O=c1oc(=O)c2nccc(=O)n2s1,aryne_11,O=c1oc(=O)c2nc#cc(=O)n2s1
arene_11,O=c1ccc(=O)c2c(=O)c(=O)sc1=2,aryne_12,O=c1c#cc(=O)c2c(=O)c(=O)sc1=2
arene_12,c1csc2nscnn-2o1,aryne_13,c1on2ncsnc-2sc#1
arene_13,O=c1cc[nH]n2c(=O)ncn12,aryne_14,O=c1c#c[nH]n2c(=O)ncn12
arene_14,O=c1sccc2nncn12,aryne_15,O=c1sc#cc2nncn12
arene_15,O=c1[nH]c(=O)c2sc(=O)ccc2[nH]1,aryne_16,O=c1[nH]c(=O)c2sc(=O)c#cc2[nH]1
arene_16,c1c[nH]nn1,aryne_17,c1nn[nH]c#1
arene_17,O=c1cc2ncccc2co1,aryne_18,O=c1cc2ncc#cc2co1
arene_18,c1cn2scc[nH]c-2c[nH]1,aryne_19,c1[nH]cc2[nH]ccsn-2c#1
arene_18,c1cn2scc[nH]c-2c[nH]1,aryne_20,c1[nH]c2c[nH]ccn-2sc#1
