arene_id,arene_smiles,arene_energy,aryne_id,aryne_smiles,aryne_energy,dehydrogenation_energy
arene_1,O=c1nc2ccsc2cs1,-1156.0883,aryne_1,O=c1nc2c#csc2cs1,-1154.7269,124.0423
arene_2,c1csn2nn[nH]cc-2o1,-846.4294,aryne_2,c1oc2c[nH]nnn-2sc#1,-845.1003,103.7738
arene_3,O=c1cnc2occsc=2c1=O,-946.314,aryne_3,O=c1cnc2oc#csc=2c1=O,-944.9744,110.3626
arene_4,O=c1cnc2sc(=O)ccc2s1,-1269.2819,aryne_4,O=c1c#cc2sc(=O)cnc2s1,-1267.9693,93.4199
arene_5,O=c1ccn2sccsn2[nH]1,-1228.5052,aryne_5,O=c1c#cn2sccsn2[nH]1,-1227.1702,107.4761
arene_7,O=c1ncn2cnccn2c1=O,-599.7472,aryne_8,O=c1ncn2cnc#cn2c1=O,-598.3859,123.9795
arene_8,c1csc2n[nH]ncn-2[nH]1,-826.615,aryne_9,c1[nH]n2cn[nH]nc-2sc#1,-825.2913,100.3852
arene_10,O=c1oc(=O)c2nccc(=O)n2s1,-1037.5574,aryne_11,O=c1oc(=O)c2nc#cc(=O)n2s1,-1036.223,107.0996
arene_11,O=c1ccc(=O)c2c(=O)c(=O)sc1=2,-1004.2672,aryne_12,O=c1c#cc(=O)c2c(=O)c(=O)sc1=2,-1002.949,96.9339
arene_12,c1csc2nscnn-2o1,-1189.201,aryne_13,c1on2ncsnc-2sc#1,-1187.8615,110.2998
arene_13,O=c1cc[nH]n2c(=O)ncn12,-561.6928,aryne_14,O=c1c#c[nH]n2c(=O)ncn12,-560.3527,110.6764
arene_14,O=c1sccc2nncn12,-829.3522,aryne_15,O=c1sc#cc2nncn12,-828.0254,102.3305
arene_15,O=c1[nH]c(=O)c2sc(=O)ccc2[nH]1,-1001.7423,aryne_16,O=c1[nH]c(=O)c2sc(=O)c#cc2[nH]1,-1000.4306,92.8551
arene_16,c1c[nH]nn1,-241.9423,aryne_17,c1nn[nH]c#1,-240.5255,158.8063
arene_17,O=c1cc2ncccc2co1,-512.4478,aryne_18,O=c1cc2ncc#cc2co1,-511.1181,104.1503
arene_18,c1cn2scc[nH]c-2c[nH]1,-794.616,aryne_19,c1[nH]cc2[nH]ccsn-2c#1,-793.28,108.1036
arene_18,c1cn2scc[nH]c-2c[nH]1,-794.616,aryne_20,c1[nH]c2c[nH]ccn-2sc#1,-793.3005,95.2396
arene_19,O=c1ccsc2c(=O)ncoc12,-946.3752,aryne_21,O=c1c#csc2c(=O)ncoc12,-945.0634,92.9178
arene_20,O=c1ccc2cnnn2s1,-829.3014,aryne_22,O=c1c#cc2cnnn2s1,-827.9858,95.3024
arene_21,O=c1ccnc2ccnnn12,-524.6034,aryne_23,O=c1c#cnc2ccnnn12,-523.2748,103.46
arene_21,O=c1ccnc2ccnnn12,-524.6034,aryne_24,O=c1ccnc2c#cnnn12,-523.2584,113.7511
arene_22,c1cc2ccnn2cn1,-395.4208,aryne_25,c1ncn2nccc2c#1,-394.0838,108.7311
arene_23,c1csc2[nH]nn[nH]c=2[nH]1,-826.6202,aryne_26,c1[nH]c2[nH]nn[nH]c=2sc#1,-825.2949,101.3892
arene_24,O=c1scc2ccnnn2c1=O,-942.4785,aryne_27,O=c1scc2c#cnnn2c1=O,-941.134,113.4374
arene_26,O=c1occn2nnnc12,-522.4108,aryne_29,O=c1oc#cn2nnnc12,-521.0333,134.1452
arene_27,O=c1sccn2nccc12,-813.3222,aryne_30,O=c1sc#cn2nccc12,-811.9831,110.0488
arene_29,O=c1ncon2[nH]ccsn12,-921.5792,aryne_32,O=c1ncon2[nH]c#csn12,-920.2513,103.0207
arene_30,O=c1ccn2c(=O)[nH]ccn12,-545.7148,aryne_33,O=c1[nH]ccn2c(=O)c#cn12,-544.3235,142.8048
arene_32,O=c1sncn2[nH]cc[nH]n12,-901.7487,aryne_36,O=c1sncn2[nH]c#c[nH]n12,-900.4173,105.217
arene_33,O=c1[nH]c2sccc(=O)c2c(=O)o1,-1021.56,aryne_37,O=c1[nH]c2sc#cc(=O)c2c(=O)o1,-1020.2472,93.5454
