arene_ID,arene_smiles
arene_1,O=c1cnoc2ccncc12
arene_2,c1cnc2nnnnc2c1
arene_3,O=c1scnn2[nH]ccsn12
arene_4,O=c1sccc2nonc12
arene_5,O=c1nc2nnccn2c(=O)o1
arene_6,O=c1cc2ccnnn2nn1
arene_7,O=c1ccn2nnnnc2c1
arene_8,O=c1nnnc2ccncn12
arene_9,O=c1oc(=O)n2occn2c1=O
arene_10,O=c1nnn2occ[nH]n2o1
arene_11,O=c1cc2sc(=O)ccn2c(=O)[nH]1
arene_12,O=c1nc2occsc-2nc1=O
arene_13,O=c1cnn2sccn2c1=O
arene_14,c1cc2[nH]ccn2n1
arene_15,O=c1nnc2ccoc2s1
arene_16,c1con2cnnnn2[nH]1
arene_17,c1csn2sccn2[nH]1
arene_18,O=c1on2c(=O)occn2c(=O)c1=O
arene_19,O=c1[nH]ncc2[nH]ccc12
arene_20,O=c1[nH]n2cc[nH]cc-2c1=O
arene_21,O=c1oc(=O)n2[nH]ccsn2o1
arene_22,O=c1oc(=O)n2ccc(=O)n2s1
arene_23,O=c1ccn2scn[nH]n2s1
arene_24,O=c1cc[nH]n2[nH]nnsn12
arene_25,O=c1[nH]n2c(=O)ccc(=O)n2c(=O)o1
arene_26,O=c1ccn2cn[nH]n12
arene_27,O=c1snc2ccon2c1=O
arene_28,O=c1[nH]c(=O)c2ccnc(=O)n2s1
arene_29,O=c1cn[nH]n2[nH]ccsn12
arene_30,O=c1[nH]ccc2c(=O)oncc12
arene_31,O=c1ccc(=O)n2ccccn12
arene_32,O=c1[nH]ccc2cnnn12
arene_33,O=c1sc(=O)c2cc[nH]c2s1
arene_34,O=c1[nH]c(=O)n2ccncn2c1=O
arene_35,O=c1nnn2c(=O)c(=O)ccn2o1
arene_36,O=c1ccc2sc(=O)c(=O)c(=O)c1=2
arene_37,O=c1cnc2ccsc2s1
arene_38,O=c1sccn2c(=O)onc12
arene_39,O=c1oc(=O)n2c(=O)c(=O)ccn2o1
arene_40,O=c1ccsc2nnsc12
arene_41,O=c1ccnc2ccoc(=O)n12
arene_42,O=c1ccn2ncsn12
arene_43,O=c1oc(=O)c2nccn2o1
arene_44,O=c1ncn2c(=O)ccn2[nH]1
arene_45,O=c1snnc2cnccc12
arene_46,O=c1cc2[nH]cc[nH]n-2c(=O)c1=O
arene_47,c1cc2ncsc2o1
arene_48,O=c1c(=O)c(=O)n2sccon2c1=O
arene_49,O=c1ncn2[nH]ccsn2o1
arene_50,O=c1cc2[nH]ccn2cn1
arene_51,O=c1[nH]cc2ccsn2c1=O
arene_52,O=c1ccc(=O)c2c(=O)c(=O)cnc1=2
arene_53,O=c1nc2ccoc2c[nH]1
arene_54,O=c1on2occsn2c(=O)s1
arene_55,O=c1nc2cccnc2c[nH]1
arene_56,O=c1nc2ccc(=O)sc2no1
arene_57,O=c1nn[nH]c2nnccc12
arene_58,O=c1cc2ccc(=O)c(=O)c-2c1
arene_59,O=c1[nH]cnc2c(=O)occc12
arene_60,c1csn2ncon2[nH]1
arene_61,O=c1sccc2onnc12
arene_62,O=c1[nH]c2sccoc=2c1=O
arene_63,c1cn2occon2[nH]1
arene_64,O=c1[nH]n2ccccn2c(=O)c1=O
arene_65,O=c1ccc2sccc(=O)c2[nH]1
arene_66,c1cn2oncsn2nn1
arene_67,O=c1oc(=O)c2c(=O)occc2s1
arene_68,O=c1ccnc2occn12
arene_69,O=c1occc2oncc12
arene_70,O=c1cnc2[nH]ccsc=2c1=O
arene_71,c1cn2snnsn2nn1
arene_72,O=c1sn2c(=O)occn2c(=O)c1=O
arene_73,c1csn2snnn2s1
arene_74,O=c1[nH]c(=O)n2ccocc1-2
arene_75,O=c1cn[nH]c2nnccc12
arene_76,O=c1nc2c(=O)ccc(=O)c-2n1
arene_77,O=c1ncn2ccc(=O)n2s1
arene_78,O=c1[nH]n2c(=O)ccsn2c(=O)c1=O
arene_79,O=c1ncoc2ccncc12
arene_80,O=c1ccc2nnccc2o1
arene_81,c1csc2cscnn-2o1
arene_82,O=c1ncn2ccocc-2c1=O
arene_83,O=c1ccc(=O)n2c(=O)sncn12
arene_84,O=c1[nH]nc2ccoc(=O)n12
arene_85,O=c1nc2nnccc2co1
arene_86,O=c1oc(=O)n2ncccn12
arene_87,O=c1[nH]c2cc[nH]c(=O)c2c(=O)s1
arene_88,O=c1ccoc2ncnnc12
arene_89,O=c1cnc2coccn-2c1=O
arene_90,O=c1ccn2nnoc(=O)c2c1
arene_91,O=c1ccc2nncn2s1
arene_92,O=c1nc2c(=O)ccoc2co1
arene_93,O=c1[nH]c(=O)n2ccocc-2c1=O
arene_94,O=c1cc[nH]c2ocnc12
arene_95,O=c1cnsc2c(=O)cc[nH]c12
arene_96,O=c1sncn2nccc12
arene_97,O=c1cc2scc[nH]c-2n1
arene_98,O=c1ncn2ccnnn2c1=O
arene_99,O=c1oc(=O)n2ccsn2c1=O
arene_100,O=c1[nH]n2[nH]cc[nH]n2sc1=O
arene_101,O=c1cn[nH]n2[nH]cc[nH]n12
arene_102,O=c1sc(=O)c2c(=O)[nH]ccc2s1
arene_103,O=c1oncn2ccnc12
arene_104,O=c1ccn2onnon2s1
arene_105,O=c1cncc[nH]1
arene_106,O=c1cc2[nH]ccc(=O)c2no1
arene_107,c1csn2nconc-2[nH]1
arene_108,O=c1ncn2[nH]ccon2[nH]1
arene_109,O=c1ccc(=O)n2ocnn12
arene_110,O=c1[nH]c(=O)n2occn12
arene_111,c1nn2[nH]ccsc-2c[nH]1
arene_112,O=c1ccn2nnncc2c1
arene_113,c1cn2onnon2nn1
arene_114,O=c1sccc2sccc12
arene_115,O=c1oc2cccnc2o1
arene_116,c1csc2snn[nH]c=2o1
arene_117,O=c1cc[nH]c2c(=O)nc[nH]c12
arene_118,O=c1ccn2[nH]c(=O)oc2n1
arene_119,O=c1cnc2cnccc2s1
arene_120,O=c1ccc2c(=O)sc(=O)sc2[nH]1
arene_121,O=c1ccn2nnon12
arene_122,c1ccn2cncc2c1
arene_123,O=c1ncn2ccsc(=O)n2c1=O
arene_124,O=c1[nH]c2sc(=O)ccc2c(=O)o1
arene_125,O=c1on2c(=O)nccc2s1
arene_126,O=c1ccn2c(=O)cnnc2s1
arene_127,O=c1occn2c(=O)nccc12
arene_128,O=c1ccnc2oncc(=O)n12
arene_129,O=c1[nH]c2[nH]ccc(=O)c2oc1=O
arene_130,O=c1ccc2c(=O)c(=O)c(=O)sc=2c1=O
arene_131,c1cn2[nH]nnsn2s1
arene_132,O=c1ccn2c(=O)c(=O)occ2[nH]1
arene_133,O=c1ncc2occc2[nH]1
arene_134,O=c1cc[nH]c2cnoc(=O)c12
arene_135,O=c1cnn2cc[nH]nc1-2
arene_136,O=c1sncn2occsn12
arene_137,c1cnn2occ[nH]n2c1
arene_138,O=c1cc[nH]c2c(=O)nn[nH]c12
arene_139,O=c1ncn2sccn2c1=O
arene_140,O=c1ccc(=O)n2cc[nH]cc1-2
arene_141,O=c1[nH]nc2c(=O)occn2c1=O
arene_142,O=c1oc2occsc=2c(=O)c1=O
arene_143,O=c1ncn2c(=O)ccon2c1=O
arene_144,O=c1oncc2ccoc12
arene_145,O=c1ccon2ocnon12
arene_146,O=c1oc2c(=O)cc[nH]c2c(=O)s1
arene_147,O=c1oc2cc[nH]c2c(=O)s1
arene_148,O=c1sn2cconc-2c1=O
arene_149,O=c1[nH]cnn2occ[nH]n12
arene_150,O=c1ccc(=O)c2cc(=O)c(=O)cc1-2
arene_151,O=c1ccc2nnc(=O)oc2o1
arene_152,O=c1ccn2ncc(=O)c(=O)n2o1
arene_153,O=c1nc2[nH]ccn2c(=O)o1
arene_154,O=c1oc2[nH]ccc2c(=O)s1
arene_155,c1c[nH]n2ccsnc-2[nH]1
arene_156,O=c1ccc2nsc(=O)nc2s1
arene_157,O=c1nc2cc[nH]c(=O)n2c(=O)[nH]1
arene_158,O=c1scc2ccsn2c1=O
arene_159,O=c1[nH]c(=O)c2c(=O)ccoc2[nH]1
arene_160,O=c1ccn2scnsn2o1
arene_161,O=c1ccn2cnsn2c1=O
arene_162,c1cc2ncsc2nn1
arene_163,c1cn2scn[nH]n2cn1
arene_164,c1cn2ocnsc-2no1
arene_165,O=c1cn[nH]c2sccc12
arene_166,O=c1nc2sccc(=O)n2c(=O)[nH]1
arene_167,c1non2ccsn2[nH]1
arene_168,O=c1[nH]ccc2cc[nH]c12
arene_169,O=c1cnn2nnccn12
arene_170,O=c1nc2c(=O)sccc2co1
arene_171,O=c1[nH]cc2cccnn2c1=O
